type,Id,geometry/type,long,lat,Name,PubDate,Type,State,FreeSpaceShort,FreeSpaceLong,ShortCapacity,LongCapacity
Feature,02900c40-0e95-4369-b9c4-22b2233a3440,Point,4.915205,52.377864,CE-P28 PTA Touringcars,2018-05-17T09:30:42.295Z,parkinglocation,ok,42,,42,
Feature,900000118_parkinglocation,Point,4.92911,52.35694,CE-P20 Oostpoort,2018-05-17T09:30:42.295Z,parkinglocation,ok,151,0,373,0
Feature,900000001_parkinglocation,Point,4.8536,52.343,CE-P02 P Olympisch stadion,2018-05-17T09:30:42.295Z,parkinglocation,ok,135,58,314,190
Feature,900000117_parkinglocation,Point,4.96043,52.37135,CE-P16 P+R Zeeburg 1,2018-05-17T09:30:42.295Z,parkinglocation,ok,3,0,210,0
Feature,901000105_parkinglocation,Point,4.864,52.3338,ZD-P3 VU campus,2018-05-17T09:30:42.295Z,parkinglocation,warning,59,,83,
Feature,900000080_parkinglocation,Point,4.93866,52.313,ZO-P04 Villa ArenA,2018-05-17T09:30:42.295Z,parkinglocation,error,310,397,347,500
Feature,902000105_parkinglocation,Point,4.8595,52.334,ZD-P1 VUmc (westflank),2018-05-17T09:30:42.295Z,parkinglocation,ok,7,,423,
Feature,900000004_parkinglocation,Point,4.87663,52.36988,CE-P05 Euro Parking,2018-05-17T09:30:42.295Z,parkinglocation,ok,161,24,268,179
Feature,900000087_parkinglocation,Point,4.90901,52.37601,CE-P15 Oosterdok,2018-05-17T09:30:42.295Z,parkinglocation,ok,85,40,800,150
Feature,900000008_parkinglocation,Point,4.89508,52.37382,CE-P09 Bijenkorf,2018-05-17T09:30:42.295Z,parkinglocation,error,462,,453,
Feature,902000085_parkinglocation,Point,4.9548,52.31477,ZO-P24 Bijlmerdreef,2018-05-17T09:30:42.295Z,parkinglocation,ok,300,0,515,75
Feature,P27 Kalverstraat,Point,4.890751,52.367258,CE-P27 Kalverstraat,2018-05-17T09:30:42.295Z,parkinglocation,error,46,45,85,49
Feature,P+R Zeeburg Touringcars,Point,4.959019,52.372163,CE-P16 P+R Zeeburg Touringcars,2018-05-17T09:30:42.295Z,parkinglocation,ok,5,0,20,0
Feature,901000085_parkinglocation,Point,4.95268,52.31476,ZO-P22 Bijlmerdreef,2018-05-17T09:30:42.295Z,parkinglocation,ok,1,9,200,25
Feature,900000012_parkinglocation,Point,4.91368,52.3681,CE-P13 Artis,2018-05-17T09:30:42.295Z,parkinglocation,error,437,,450,
